Country,variable,value,ranked19,ranked20
Health,2022,361921,2,4
Health,2023,385395,2,4
Education,2022,282457,3,5
Education,2023,290854,3,5
Professional,2022,162650,6,8
Professional,2023,167422,6,8
Information,2022,80116,11,13
Information,2023,83912,11,13
Finance,2022,67157,12,14
Finance,2023,70759,12,14
Accommodation,2022,162158,7,9
Accommodation,2023,164249,7,9
Arts,2022,46021,13,15
Arts,2023,47905,13,15
Manufacturing,2022,280001,4,6
Manufacturing,2023,281532,4,6
Water,2022,18426,16,18
Water,2023,19529,16,18
Energy,2022,10754,18,20
Energy,2023,11708,18,20
Realestate,2022,33314,15,17
Realestate,2023,34088,15,17
Public,2022,92750,10,12
Public,2023,93419,10,12
Other,2022,45363,14,16
Other,2023,45895,14,16
Mining,2022,1504,20,22
Mining,2023,1570,20,22
Administrative,2022,233231,5,7
Administrative,2023,233277,5,7
Households,2022,7454,19,21
Households,2023,7246,19,21
Wholesale,2022,404448,1,3
Wholesale,2023,404207,1,3
Construction,2022,100752,9,11
Construction,2023,100462,9,11
Transportation,2022,144523,8,10
Transportation,2023,143814,8,10
Agriculture,2022,19188,17,19
Agriculture,2023,18448,17,19
